"과목 및 유형",2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017
"과목 및 유형",평  균 (만원),초등학교 (만원),중학교 (만원),고등학교 (만원),일반고 (만원),평  균 (만원),초등학교 (만원),중학교 (만원),고등학교 (만원),일반고 (만원),평  균 (만원),초등학교 (만원),중학교 (만원),고등학교 (만원),일반고 (만원),평  균 (만원),초등학교 (만원),중학교 (만원),고등학교 (만원),일반고 (만원),평  균 (만원),초등학교 (만원),중학교 (만원),고등학교 (만원),일반고 (만원),평  균 (만원),초등학교 (만원),중학교 (만원),고등학교 (만원),일반고 (만원),평  균 (만원),초등학교 (만원),중학교 (만원),고등학교 (만원),일반고 (만원),평  균 (만원),초등학교 (만원),중학교 (만원),고등학교 (만원),일반고 (만원),평  균 (만원),초등학교 (만원),중학교 (만원),고등학교 (만원),일반고 (만원),평  균 (만원),초등학교 (만원),중학교 (만원),고등학교 (만원),일반고 (만원),평  균 (만원),초등학교 (만원),중학교 (만원),고등학교 (만원),일반고 (만원)
"논  술",0.8,1.0,0.6,0.7,0.9,0.7,0.8,0.5,0.5,0.6,0.6,0.8,0.4,0.4,0.5,0.6,0.8,0.4,0.5,0.6,0.7,0.9,0.5,0.5,0.7,0.7,0.8,0.5,0.6,0.8,0.7,0.9,0.5,0.7,0.8,0.6,0.8,0.5,0.5,0.6,0.7,0.9,0.5,0.5,0.6,0.8,1.0,0.6,0.5,0.6,0.8,1.0,0.7,0.5,0.5
"음  악",1.9,3.2,0.6,0.6,0.7,2.0,3.4,0.6,0.8,0.9,2.1,3.3,0.7,1.2,1.4,2.0,3.2,0.7,1.3,1.5,2.1,3.4,0.8,1.2,1.3,1.8,2.8,0.9,0.9,1.0,1.9,3.1,0.8,1.1,1.3,1.9,3.2,0.8,1.2,1.4,1.9,3.2,0.9,0.9,1.0,2.3,3.8,0.9,1.1,1.3,2.4,3.9,1.2,1.2,1.3
"미  술",0.8,0.9,0.3,1.1,1.3,0.8,0.9,0.2,1.2,1.4,0.8,0.9,0.3,1.0,1.2,0.8,0.9,0.3,1.0,1.1,0.7,0.9,0.2,1.0,1.1,0.7,0.8,0.2,1.0,1.1,0.9,1.0,0.3,1.2,1.3,0.9,1.0,0.3,1.1,1.3,0.9,1.1,0.3,1.2,1.4,1.0,1.2,0.3,1.4,1.5,1.1,1.3,0.5,1.4,1.6
"체  육",1.3,2.2,0.5,0.4,0.4,1.3,2.2,0.4,0.4,0.4,1.3,2.3,0.6,0.4,0.4,1.4,2.4,0.5,0.5,0.4,1.5,2.7,0.6,0.4,0.4,1.4,2.4,0.7,0.4,0.4,1.6,2.8,0.8,0.4,0.5,1.8,3.3,0.8,0.4,0.5,2.0,3.6,0.9,0.6,0.6,2.4,4.3,1.3,0.6,0.6,2.8,4.7,1.4,1.1,1.2
"취미·교양",0.3,0.4,0.1,0.3,0.3,0.3,0.4,0.2,0.4,0.3,0.3,0.4,0.2,0.3,0.3,0.3,0.4,0.1,0.3,0.3,0.3,0.4,0.2,0.4,0.3,0.4,0.4,0.2,0.5,0.5,0.4,0.4,0.3,0.5,0.6,0.4,0.4,0.2,0.6,0.6,0.5,0.5,0.3,0.5,0.5,0.6,0.7,0.4,0.6,0.6,0.7,0.8,0.4,0.9,1.0
"유형 :일반교과 사교육",17.8,16.0,21.9,17.0,21.2,18.8,17.4,22.6,17.6,21.7,19.7,17.6,24.3,18.5,23.5,19.5,17.5,23.8,18.4,22.9,19.3,16.8,24.3,18.5,22.6,19.3,15.4,25.5,19.3,23.3,19.1,15.8,24.5,18.9,22.5,19.1,15.2,24.8,19.4,23.0,19.0,14.7,25.1,20.2,24.0,19.1,14.2,24.6,22.1,26.1,19.8,14.6,25.5,23.3,27.5
"개인과외",2.7,1.1,3.3,5.6,7.0,2.9,1.2,3.3,5.6,6.9,3.3,1.3,4.0,6.1,7.7,3.2,1.2,3.8,5.9,7.3,3.3,1.4,4.0,5.8,7.1,3.3,1.2,4.2,5.8,6.9,3.3,1.4,3.8,5.5,6.6,3.2,1.3,4.0,5.4,6.4,3.4,1.7,4.0,5.4,6.4,3.1,1.3,3.8,5.3,6.1,2.8,1.2,3.4,4.9,5.7
"그룹과외",1.9,1.6,2.1,2.4,2.9,1.8,1.6,1.8,2.3,2.9,2.1,1.8,2.4,2.2,2.9,2.2,1.9,2.5,2.4,3.0,2.2,1.8,2.6,2.3,2.8,2.3,1.7,3.0,2.4,3.0,2.2,1.8,2.6,2.2,2.6,2.2,1.8,2.7,2.2,2.6,2.2,1.9,2.8,2.1,2.6,1.9,1.6,2.2,2.2,2.6,2.1,1.7,2.7,2.4,2.8
"학원수강",10.9,9.7,15.2,8.4,10.6,12.1,11.3,16.3,9.1,11.3,12.2,11.2,16.7,9.5,12.1,12.2,11.3,16.4,9.5,11.9,12.2,10.9,16.8,9.9,12.1,12.4,10.3,17.4,10.8,13.1,12.5,10.3,17.4,10.9,12.9,12.4,9.8,17.4,11.6,13.7,12.2,8.9,17.6,12.4,14.7,12.6,8.7,17.8,14.3,16.9,13.2,9.0,18.6,15.6,18.5
"방문학습지",2.0,3.4,1.0,0.1,0.1,1.8,3.2,0.8,0.1,0.1,1.7,3.2,0.8,0.1,0.1,1.6,2.9,0.7,0.1,0.1,1.3,2.5,0.7,0.1,0.1,1.1,2.1,0.6,0.1,0.1,1.0,2.0,0.5,0.0,0.0,1.1,2.1,0.5,0.0,0.0,1.0,2.0,0.4,0.0,0.0,1.1,2.1,0.4,0.0,0.0,1.1,2.1,0.5,0.1,0.1
"유료인터넷 및 통신강좌 등",0.2,0.1,0.3,0.4,0.5,0.2,0.1,0.3,0.4,0.5,0.3,0.2,0.3,0.5,0.7,0.3,0.1,0.4,0.5,0.6,0.3,0.1,0.3,0.4,0.5,0.2,0.2,0.3,0.3,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.6,0.3,0.3,0.4,0.5,0.6,0.3,0.3,0.4
"개인과외",0.7,0.9,0.4,0.4,0.5,0.7,0.9,0.4,0.5,0.6,0.9,1.1,0.5,1.0,1.2,1.0,1.2,0.5,1.1,1.3,0.9,1.2,0.5,0.9,1.1,0.6,0.7,0.6,0.6,0.6,0.8,1.1,0.5,0.8,0.9,0.9,1.2,0.6,0.9,1.0,1.0,1.2,0.7,0.8,0.9,1.0,1.2,0.7,1.0*,1.2*,1.2,1.2,1.0,1.3,1.5
"그룹과외",0.3,0.5,0.1,0.1,0.1,0.3,0.4,0.1,0.1,0.1,0.3,0.6,0.2,0.1,0.1,0.4,0.6,0.2,0.1,0.1,0.4,0.6,0.2,0.1,0.1,0.3,0.5,0.2,0.1,0.1,0.3,0.5,0.2,0.1,0.1,0.4,0.7,0.2,0.1,0.1,0.4,0.7,0.3,0.1,0.1,0.4,0.7,0.3,0.2*,0.2*,0.5,0.9,0.3,0.2,0.2
"학원수강",3.3,5.1,1.0,1.9,2.0,3.3,5.4,0.9,2.1,2.3,3.1,5.1,1.0,1.9,1.9,3.1,5.1,0.9,1.8,2.0,3.2,5.3,1.1,2.0,2.0,3.2,5.1,1.2,2.1,2.2,3.5,5.6,1.4,2.4,2.7,3.7,6.0,1.4,2.4,2.7,3.8,6.3,1.4,2.2,2.4,4.6,7.5,1.7,2.4,2.6,5.0,7.9,2.0,2.9,3.3
"방문수업 및 기타",0.1,0.2,0.1,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.1,0.2,0.1,0.0,0.0,0.1,0.2,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.3,0.5,0.2,0.1,0.1,0.4,0.7,0.2,0.1,0.1
